Source:,C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v3.kicad_sch,,,,,,,,,
Date:,6/25/2024 14:38,,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,
Component Count:,238,,,,,,,,,
,,,,,,,,,,
Collated Components:,,,,,,,,,,
,,,,,,,,,,
Item,Qty,Reference(s),Value,Part,LibPart,Footprint,Datasheet,DNP,Cost,Digikey
42,1,R10,5k,Y14535K00000V9L,Device:R_Small,Precision_resistor_5k:Y1453_VIS,https://foilresistors.com/docs/63187/zseries.pdf,,38.87,https://www.digikey.com/en/products/detail/vpg-foil-resistors/Y14535K00000V9L/2609897
43,1,R11,15k,CFR-25JR-52-15K,Device:R_Small,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-cfr_datasheet.pdf,,0.1,https://www.digikey.com/en/products/detail/yageo/CFR-25JR-52-15K/12002
44,16,"R12, R13, R14, R15, R16, R17, R21, R22, R23, R24, R25, R26, R30, R31, R32, R33",1,RT0805FRE071RL,Device:R_Small,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE071RL/5934333
45,8,"R18, R19, R20, R27, R28, R29, R34, R35",1M,RC0805FR-131ML,Device:R_Small,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805FR-131ML/14008312
46,10,"R36, R37, R38, R39, R40, R41, R42, R43, R46, R47",330,RC0805FR-10330RL,Device:R_Small,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805FR-10330RL/13694160
47,1,R44,2.4k,RC0805FR-072K4L,Device:R_Small,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K4L/727690
48,1,R45,750,RC0805FR-07750RL,Device:R_Small,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07750RL/728134
49,2,"R49, R50",10k,RT0805FRE0710KL,Device:R_Small,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE0710KL/1078908
50,2,"RN1, RN3",746X101103JP,746X101103JP,Network_resistor_10k_bussed:746X101103JP,Network_resistor_10k_bussed:746X101103JP-3,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6153/74x_Series.pdf,,0.22,https://www.digikey.com/en/products/detail/cts-resistor-products/746X101103JP/1118444
51,2,"RN2, RN4",10k,YC164-JR-1310KL,Device:R_Pack04,Resistor_network_x4_10k-1204:RESCAXS80P320X160X70-8N,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,,0.1,https://www.digikey.com/en/products/detail/yageo/YC164-JR-1310KL/17023153?s=N4IgTCBcDaIJ4GMCMA2ALAWgFYCcNIGYkAGAawBsQBdAXyA
52,1,RV1,10k,TC33X-2-103E,Device:R_Potentiometer,Potentiometer_10k_smt:POT_TC33_3X3P8_BRN,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,,0.28,https://www.digikey.com/en/products/detail/bourns-inc/TC33X-2-103E/612858
53,1,SW1,TS02-66-70-BK-160-LCR-D,PTS526 SK15 SMTR2 LFS,Switch:SW_MEC_5E,Button_switch_smt:SMT_FS,https://www.ckswitches.com/media/2780/pts526.pdf,,0.14,https://www.digikey.com/en/products/detail/c-k/PTS526-SK15-SMTR2-LFS/10056626
54,1,SW2,SW_DIP_x03,DS01C-254-L-03BE,Switch:SW_DIP_x03,Dip_switch_DS01C-254-L-03BE:SW_DS01C-254-L-03BE,https://www.cuidevices.com/product/resource/ds01-254.pdf,,0.57,https://www.digikey.com/en/products/detail/cui-devices/DS01C-254-L-03BE/11310858
55,1,TP1,Vin-adc,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
56,1,TP2,MotorCurrent-adc,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
57,1,TP3,D3V3,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
58,1,TP4,A3V3,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
59,2,"TP5, TP18",GND,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
60,1,TP6,Vin,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
61,2,"TP8, TP16",3V3,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
62,1,TP9,5V,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
63,1,TP13,12V,,Connector:TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,~,,,
