Source:,C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v1.kicad_sch,,,,,,,,
Date:,1/24/2024 17:40,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,
Component Count:,232,,,,,,,,
,,,,,,,,,
Collated Components:,,,,,,,,,
,,,201.37,,,,,,
Item,Qty,Price,Subtotal,Digikey,Value,Reference(s),Datasheet,,Footprint
65,1, $0.97 ,0.97,https://www.digikey.com/en/products/detail/texas-instruments/INA213AIDCKR/1898607,INA213AIDCKR,U5,http://www.ti.com/lit/ds/symlink/ina181.pdf,,Motor_controller_DRV8825PWPR:SOP65P640X120-29N
24,1, $0.96 ,0.96,https://www.digikey.com/en/products/detail/cui-devices/TB001-500-07BE/10064063,Screw_Terminal_01x07,J7,https://www.cuidevices.com/product/resource/tb001-500.pdf,,Header_male_4x1:CONN_61300411121_WRE
68,2, $0.46 ,0.92,https://www.digikey.com/en/products/detail/texas-instruments/ULN2003ADR/277011?s=N4IgTCBcDa4JwDYC0BGAzAgHKpA5AIiALoC%2BQA,ULN2003ADR,"U8, U9",http://www.ti.com/lit/ds/symlink/uln2003a.pdf,,Connector_8x1_216550:CONN_216550-1_TEC
12,9, $0.10 ,0.9,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B474KBFNNNG/3894539,0.47,"C15, C45, C46, C47, C63, C64, C65, C76, C77",~,,Header_screw_4x1_TB001-500-04BE:CUI_TB001-500-04BE
11,8, $0.10 ,0.8,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673,0.01u,"C42, C43, C44, C60, C61, C62, C74, C75",~,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
41,8, $0.10 ,0.8,https://www.digikey.com/en/products/detail/yageo/RC0805FR-10330RL/13694160,330,"R36, R37, R38, R39, R40, R41, R42, R43",https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,Molex_3x1_0436500315:CON_436500315_MOL
40,8, $0.10 ,0.8,https://www.digikey.com/en/products/detail/yageo/RC0805FR-131ML/14008312,1M,"R18, R19, R20, R27, R28, R29, R34, R35",https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,Connector_TE_x6_216548-1:CONN_216548-1_TYC
63,1, $0.69 ,0.69,https://www.digikey.com/en/products/detail/microchip-technology/MCP1825ST-3302E-DB/1635518,MCP1825ST-3302E/DB,U3,https://ww1.microchip.com/downloads/en/DeviceDoc/22056b.pdf,,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm
34,1, $0.60 ,0.6,https://www.digikey.com/en/products/detail/yageo/PE2512FKE070R1L/5138678,0.1,R5,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-pe_521_rohs_l.pdf,,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm
49,1, $0.57 ,0.57,https://www.digikey.com/en/products/detail/cui-devices/DS01C-254-L-03BE/11310858,SW_DIP_x03,SW2,https://www.cuidevices.com/product/resource/ds01-254.pdf,,Relay_TX-L2-5V:RELAY_TX2_L2_PAN
9,2, $0.27 ,0.54,https://www.digikey.com/en/products/detail/kemet/C0805C200J5GAC7800/2212144,20p,"C20, C23",https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C200J5GACTU,,Resistor_0805:RC0805N_YAG
14,2, $0.21 ,0.42,https://www.digikey.com/en/products/detail/diodes-incorporated/BZT52C3V3-7-F/717734,3.3V,"D2, D3",https://www.diodes.com/assets/Datasheets/ds18004.pdf,,Resistor_0805:RC0805N_YAG
15,4, $0.10 ,0.4,https://www.digikey.com/en/products/detail/harvatek-corporation/B1911PG-20D000514U1930/15519992,green,"D4, D5, D6, D7",https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/3777/B1911PG--20D000514U1930.pdf,,Resistor_0805:RC0805N_YAG
13,1, $0.37 ,0.37,https://www.digikey.com/en/products/detail/diodes-incorporated/B340AE-13/7352831,B340AE-13,D1,https://www.diodes.com/assets/Datasheets/B320AE/B340AE.pdf,,Resistor_0805:RC0805N_YAG
3,3, $0.11 ,0.33,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687,1u,"C3, C10, C14",https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL21B105KBFNNNE_Spec.pdf,,Shunt_PE2512FKE070R1L:RESC6331X89N
47,1, $0.28 ,0.28,https://www.digikey.com/en/products/detail/bourns-inc/TC33X-2-103E/612858,10k,RV1,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,,Resistor_0805:RC0805N_YAG
45,2, $0.14 ,0.28,https://www.digikey.com/en/products/detail/yageo/YC158TJR-0710KL/5951826,10k,"RN1, RN3",https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-yc_tc_group_51_rohs_l.pdf,,Resistor_0805:RC0805N_YAG
35,2, $0.10 ,0.2,https://www.digikey.com/en/products/detail/yageo/RT0805FRE0710KL/1078908,10k,"R6, R9",https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,,Precision_resistor_5k:Y1453_VIS
36,2, $0.10 ,0.2,https://www.digikey.com/en/products/detail/yageo/RT0805FRE074K7L/1079294,4.7k,"R7, R8",https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal
46,2, $0.10 ,0.2,https://www.digikey.com/en/products/detail/yageo/YC164-JR-1310KL/17023153?s=N4IgTCBcDaIJ4GMCMA2ALAWgFYCcNIGYkAGAawBsQBdAXyA,10k,"RN2, RN4",https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,,Resistor_0805:RC0805N_YAG
44,2, $0.10 ,0.2,,220,"R46, R47",~,,Resistor_0805:RC0805N_YAG
20,1, $0.19 ,0.19,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300411121/4846827,Conn_01x04,J1,https://www.we-online.com/components/products/datasheet/6130xx11121.pdf,,Resistor_0805:RC0805N_YAG
70,1, $0.17 ,0.17,https://www.digikey.com/en/products/detail/abracon-llc/ABLS-8-000MHZ-20-B-3-H-T/9997852,8MHz,Y1,https://abracon.com/Resonators/ABLS.pdf,,Resistor_0805:RC0805N_YAG
67,1, $0.16 ,0.16,https://www.digikey.com/en/products/detail/microchip-technology/AT24C01D-STUM-T/4914368,AT24C01D-STUM-T,U7,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA01-24LC01B-24FC01-1K-I2C-Serial-EEPROM-20001711M.pdf,,Resistor_0805:RC0805N_YAG
48,1, $0.14 ,0.14,https://www.digikey.com/en/products/detail/c-k/PTS526-SK15-SMTR2-LFS/10056626,TS02-66-70-BK-160-LCR-D,SW1,https://www.ckswitches.com/media/2780/pts526.pdf,,Resistor_0805:RC0805N_YAG
23,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/adam-tech/PH1-03-UA/9830289,Conn_01x03,J6,https://www.digikey.com/en/products/detail/adam-tech/PH1-03-UA/9830289,,Resistor_network-10k:SMT_JR-0710KL_YAG
16,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/fair-rite-products-corp/2508051017Y0/8594285,100,FB1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/897/EMI_Filtering_and_RF_Inductors.pdf,,Resistor_network_x4_10k-1204:RESCAXS80P320X160X70-8N
2,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B224KBFNNNE/3886751,0.22u,C2,~,,Potentiometer_10k_smt:POT_TC33_3X3P8_BRN
1,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B334KBFNNNE/3886781,0.33u,C1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1068/CL21B334KBFNNNE_Spec.pdf,,Button_switch_smt:SMT_FS
4,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/860020572003/5727172,10u,C4,https://www.we-online.com/components/products/datasheet/860020572003.pdf,,Dip_switch_DS01C-254-L-03BE:SW_DS01C-254-L-03BE
38,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/yageo/CFR-25JR-52-15K/12002,15k,R11,https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-cfr_datasheet.pdf,,TestPoint:TestPoint_Pad_1.0x1.0mm
31,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE073K3L/1079226,3.3k,R2,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,,TestPoint:TestPoint_Pad_1.0x1.0mm
32,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE0747KL/1079274,47k,R3,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,,TestPoint:TestPoint_Pad_1.0x1.0mm
33,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE075K1L/1079334,5.1k,R4,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,,TestPoint:TestPoint_Pad_1.0x1.0mm
30,1, $0.10 ,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE076K8L/1079385,6.8k,R1,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,,TestPoint:TestPoint_Pad_1.0x1.0mm
42,1, $0.10 ,0.1,,2k,R44,~,,TestPoint:TestPoint_Pad_1.0x1.0mm
43,1, $0.10 ,0.1,,560,R45,~,,TestPoint:TestPoint_Pad_1.0x1.0mm
17,6,,0,,MountingHole,"H1, H2, H3, H4, H5, H6",~,,TestPoint:TestPoint_Pad_1.0x1.0mm
27,6,,0,,SolderJumper_2_Open,"JP1, JP4, JP5, JP9, JP10, JP11",~,,TestPoint:TestPoint_Pad_1.0x1.0mm
28,5,,0,,SolderJumper_3_Open,"JP2, JP3, JP6, JP7, JP8",~,,TestPoint:TestPoint_Pad_1.0x1.0mm
50,1,,0,,Vin-adc,TP1,~,,TestPoint:TestPoint_Pad_1.0x1.0mm
51,1,,0,,MotorCurrent-adc,TP2,~,,Linear_regulator_L7812ABD2T_TR:DPAK_BD2T-TR_STM
52,1,,0,,D3V3,TP3,~,,Package_TO_SOT_SMD:SOT-223-3_TabPin2
53,1,,0,,A3V3,TP4,~,,Package_TO_SOT_SMD:SOT-223-3_TabPin2
54,3,,0,,GND,"TP5, TP7, TP18",~,,Package_SO:TSSOP-16_4.4x5mm_P0.65mm
55,1,,0,,Vin,TP6,~,,Current_sense_amp_INA213AIDCKR:DCK0006A_L
56,2,,0,,3V3,"TP8, TP16",~,,STM32F103RBT6TR:LQFP64-10x10mm
57,1,,0,,5V,TP9,~,,Package_TO_SOT_SMD:SOT-23-5
58,1,,0,,12V,TP13,~,,Relay_driver_ULN2003ADR:D0016A_L
59,1,,0,,Vref,TP15,~,,Package_SO:MFSOP6-4_4.4x3.6mm_P1.27mm
60,1,,0,,DIR,TP17,~,,Crystal_8MHZ_smt:XTAL_ABLS-8.000MHz-20-B-3-H-T
