Source:,C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v2.kicad_sch,,,,,,,
Date:,4/17/2024 15:53,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,241,,,,,,,
,,,,,,,,
Collated Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,Part,Cost,Digikey,Footprint,Datasheet
12,8,"C45, C46, C47, C63, C64, C65, C76, C77",0.47u,CL21B474KBFNNNG,0.1,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B474KBFNNNG/3894539,Capacitor_047uF:CAP_CL_21_SAM,~
13,1,D1,B340AE-13,B340AE-13,0.37,https://www.digikey.com/en/products/detail/diodes-incorporated/B340AE-13/7352831,Shottky_B340AE_13:CR_SMA_320-340AE_DIO,https://www.diodes.com/assets/Datasheets/B320AE/B340AE.pdf
14,2,"D2, D3",3.3V,BZT52C3V3-7-F,0.21,https://www.digikey.com/en/products/detail/diodes-incorporated/BZT52C3V3-7-F/717734,Zener_3V3_BZT52C3V3-7-F:SOD3715X135N,https://www.diodes.com/assets/Datasheets/ds18004.pdf
15,4,"D4, D5, D6, D7",green-led,B1911PG--20D000514U1930,0.1,https://www.digikey.com/en/products/detail/harvatek-corporation/B1911PG-20D000514U1930/15519992,LED_green_0603:LED_B1911PG--20D000514U1930_HVK,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/3777/B1911PG--20D000514U1930.pdf
16,1,FB1,100,2508051017Y0,0.1,https://www.digikey.com/en/products/detail/fair-rite-products-corp/2508051017Y0/8594285,Ferrite-bead-100:IND_25_0805_FRT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/897/EMI_Filtering_and_RF_Inductors.pdf
17,6,"H1, H2, H3, H4, H5, H6",MountingHole,,,,MountingHole:MountingHole_2.5mm_Pad,~
18,2,"IC1, IC2",CD4043BDR,CD4043BDR,0.49,https://www.digikey.com/en/products/detail/texas-instruments/CD4043BDR/1691049?s=N4IgTCBcDa4JwDYC0BmAjAFkUtSByAIiALoC%2BQA,Latch_CD4043BDR:SOIC127P600X175-16N,http://www.ti.com/lit/ds/symlink/cd4043b.pdf
19,8,"IC3, IC4, IC5, IC6, IC7, IC8, IC9, IC10",DRV8825PWPR,DRV8825PWPR,5.65,https://www.digikey.com/en/products/detail/texas-instruments/drv8825pwpr/2695909,Motor_controller_DRV8825PWPR:SOP65P640X120-29N,http://www.ti.com/lit/gpn/drv8825
20,1,IC11,SN74LVC1G3157DCKR,,0.34,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G3157DCKR/562895,SOT65P210X110-6N,http://www.ti.com/lit/ds/symlink/sn74lvc1g3157.pdf
21,1,J1,Conn_01x04,61300411121,0.19,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300411121/4846827,Header_male_4x1:CONN_61300411121_WRE,https://www.we-online.com/components/products/datasheet/6130xx11121.pdf
